school_name,address,postal_code,nature_code,sap_ind,autonomous_ind,gifted_ind,P1_demand,P2A_demand,P2B_demand,P2C_demand,P2CS_demand,subject_count,distprog_ict,distprog_interdisciplinary,distprog_languages,distprog_stem,cca_clubs,cca_others,cca_sports,cca_uniformed,cca_arts,affiliation_count,top_psle_score
SENGKANG GREEN PRIMARY SCHOOL,15 Fernvale Road   ,797636,CO-ED SCHOOL,0,0,0,0.47,1.25,0.75,1.75,0.0,24,0,1,0,1,4,0,4,1,7,0,0
SHUQUN PRIMARY SCHOOL,8 JURONG WEST STREET 51   ,649332,CO-ED SCHOOL,0,0,0,0.59,1.95,1.0,1.93,0.0,22,0,1,0,0,4,1,5,4,3,0,0
SI LING PRIMARY SCHOOL,61 WOODLANDS AVENUE 1   ,739067,CO-ED SCHOOL,0,0,0,0.27,0.14,0.0,0.22,0.04,33,0,0,0,1,3,1,4,1,3,0,0
SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL,190 DUNEARN ROAD   ,309437,GIRLS' SCHOOL,0,0,0,0.43,1.32,1.35,1.41,0.0,19,0,0,1,0,4,0,5,1,8,1,1
SOUTH VIEW PRIMARY SCHOOL,6 Choa Chu Kang Central   ,689762,CO-ED SCHOOL,0,0,0,0.69,2.89,1.3,3.78,0.0,21,1,1,0,0,5,1,5,3,6,0,0
SPRINGDALE PRIMARY SCHOOL,71 Anchorvale Link   ,544799,CO-ED SCHOOL,0,0,0,0.6,0.57,0.0,0.72,1.85,29,0,1,0,0,7,4,6,1,3,0,0
ST. ANDREW'S JUNIOR SCHOOL,2 FRANCIS THOMAS DRIVE   ,359337,BOYS' SCHOOL,0,0,0,0.27,0.58,0.85,1.24,0.0,29,0,1,0,1,4,0,6,2,2,1,0
ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,1602 BEDOK NORTH AVE 4   ,469701,GIRLS' SCHOOL,0,0,0,0.22,0.09,0.05,0.2,0.38,30,0,0,0,1,2,0,11,1,4,1,0
ST. ANTHONY'S PRIMARY SCHOOL,30 Bukit Batok St 32   ,659401,CO-ED SCHOOL,0,0,0,0.0,0.0,0.0,0.0,0.0,30,0,0,0,1,5,2,5,2,4,2,0
ST. GABRIEL'S PRIMARY SCHOOL,220 Lorong Chuan   ,556742,BOYS' SCHOOL,0,0,0,0.36,0.31,0.55,0.85,2.75,29,1,0,0,1,6,0,11,1,2,1,0
ST. HILDA'S PRIMARY SCHOOL,2 Tampines Ave 3   ,529706,CO-ED SCHOOL,0,0,1,0.59,1.0,1.45,3.16,0.0,30,0,0,1,0,6,1,7,2,5,1,0
ST. JOSEPH'S INSTITUTION JUNIOR,3 ESSEX ROAD   ,309331,BOYS' SCHOOL,0,0,0,0.35,0.52,1.97,1.47,0.0,26,0,1,0,0,3,0,6,1,3,2,0
ST. MARGARET'S SCHOOL (PRIMARY),136 Sophia Road   ,228197,GIRLS' SCHOOL,0,0,0,0.31,0.26,0.36,1.11,0.0,26,0,0,1,1,4,0,5,2,4,0,0
ST. STEPHEN'S SCHOOL,20 SIGLAP VIEW   ,455789,BOYS' SCHOOL,0,0,0,0.19,0.09,0.17,0.4,0.99,34,0,1,0,0,4,0,6,1,2,2,0
TAMPINES NORTH PRIMARY SCHOOL,30 TAMPINES AVENUE 9   ,529565,CO-ED SCHOOL,0,0,0,0.41,0.14,0.0,0.31,1.08,20,0,0,1,0,2,0,5,2,5,0,0
TAMPINES PRIMARY SCHOOL,250 TAMPINES STREET 12   ,529426,CO-ED SCHOOL,0,0,0,0.0,0.0,0.0,0.0,0.0,32,0,0,1,1,3,0,4,2,6,0,0
TANJONG KATONG PRIMARY SCHOOL,10 Seraya Road   ,437259,CO-ED SCHOOL,0,0,0,0.58,1.76,0.45,1.57,0.0,29,0,0,0,0,4,0,5,1,5,0,0
TAO NAN SCHOOL,49 MARINE CRESCENT   ,449761,CO-ED SCHOOL,1,0,1,0.59,1.28,3.15,1.8,0.0,15,0,0,0,1,4,0,8,4,6,0,0
TECK GHEE PRIMARY SCHOOL,1 ANG MO KIO STREET 32   ,569299,CO-ED SCHOOL,0,0,0,0.39,0.13,0.06,0.55,0.98,24,0,0,0,1,4,0,4,2,5,0,0
TECK WHYE PRIMARY SCHOOL,11 TECK WHYE WALK   ,688261,CO-ED SCHOOL,0,0,0,0.3,0.21,0.0,0.16,0.46,29,0,0,1,0,4,1,5,1,2,0,0
TELOK KURAU PRIMARY SCHOOL,50 BEDOK RESERVOIR RD   ,479239,CO-ED SCHOOL,0,0,0,0.34,0.24,0.0,0.42,0.82,25,0,0,0,1,6,0,4,3,5,0,0
TEMASEK PRIMARY SCHOOL,501 BEDOK SOUTH AVE 3   ,469300,CO-ED SCHOOL,0,0,0,0.69,2.77,0.5,2.06,0.0,27,0,0,0,1,5,0,5,2,3,0,0
TOWNSVILLE PRIMARY SCHOOL,3 ANG MO KIO AVE 10   ,569730,CO-ED SCHOOL,0,0,0,0.0,0.0,0.0,0.0,0.0,25,0,0,0,0,3,0,4,2,4,0,0
WATERWAY PRIMARY SCHOOL,70 Punggol Drive   ,828802,CO-ED SCHOOL,0,0,0,0.75,1.95,0.0,1.7,0.0,24,0,0,1,0,6,0,4,1,3,0,0
WELLINGTON PRIMARY SCHOOL,10 WELLINGTON CIRCLE   ,757702,CO-ED SCHOOL,0,0,0,0.57,1.13,1.05,2.6,0.0,29,1,0,0,0,5,0,5,1,7,0,0
WEST GROVE PRIMARY SCHOOL,1 JURONG WEST ST 72   ,649223,CO-ED SCHOOL,0,0,0,0.45,0.07,0.0,0.3,0.49,30,0,1,0,0,5,0,4,4,4,0,0
WEST SPRING PRIMARY SCHOOL,60 Bukit Panjang Ring Road   ,679946,CO-ED SCHOOL,0,0,0,0.59,0.97,0.05,0.63,0.43,29,0,0,0,1,5,0,6,1,3,0,0
WEST VIEW PRIMARY SCHOOL,31 SENJA ROAD   ,677742,CO-ED SCHOOL,0,0,0,0.57,0.97,0.0,0.52,0.45,24,0,0,0,1,2,0,4,1,4,0,0
WESTWOOD PRIMARY SCHOOL,1 Jurong West Street 73   ,649188,CO-ED SCHOOL,0,0,0,0.58,1.19,0.35,1.43,0.0,29,0,1,0,0,4,0,4,2,5,0,0
WHITE SANDS PRIMARY SCHOOL,2 PASIR RIS ST 11   ,519075,CO-ED SCHOOL,0,0,0,0.49,0.28,0.06,0.77,0.87,24,1,0,1,0,4,0,4,1,5,0,0
WOODGROVE PRIMARY SCHOOL,2 WOODLANDS DRIVE 14   ,738079,CO-ED SCHOOL,0,0,0,0.5,0.3,0.15,0.89,0.73,29,0,0,1,1,5,0,5,2,7,0,0
WOODLANDS PRIMARY SCHOOL,10 WOODLANDS DRIVE 50   ,738853,CO-ED SCHOOL,0,0,0,0.61,0.37,0.25,0.97,3.0,26,0,0,1,3,11,0,7,1,6,0,0
WOODLANDS RING PRIMARY SCHOOL,11 WOODLANDS RING ROAD   ,738240,CO-ED SCHOOL,0,0,0,0.0,0.0,0.0,0.0,0.0,21,0,0,0,0,4,1,4,1,6,0,0
XINGHUA PRIMARY SCHOOL,45 HOUGANG AVENUE 1   ,538882,CO-ED SCHOOL,0,0,0,0.28,0.08,0.0,0.32,0.74,25,0,1,0,0,4,1,6,2,4,0,0
XINGNAN PRIMARY SCHOOL,5 JURONG WEST STREET 91   ,649036,CO-ED SCHOOL,0,0,0,0.55,0.31,0.0,0.48,0.31,30,0,0,0,1,6,1,4,1,6,0,0
XINMIN PRIMARY SCHOOL,9 HOUGANG AVENUE 8   ,538784,CO-ED SCHOOL,0,0,0,0.6,0.82,0.79,1.64,0.0,29,0,1,0,0,3,1,4,3,4,0,0
XISHAN PRIMARY SCHOOL,8 YISHUN STREET 21   ,768611,CO-ED SCHOOL,0,0,0,0.43,0.15,0.02,0.45,1.38,22,0,0,1,0,4,0,5,2,7,0,0
YANGZHENG PRIMARY SCHOOL,15 SERANGOON AVENUE 3   ,556108,CO-ED SCHOOL,0,0,0,0.64,2.56,0.7,2.09,0.0,29,0,0,0,0,3,0,4,2,4,0,0
YEW TEE PRIMARY SCHOOL,10 CHOA CHU KANG ST 64   ,689100,CO-ED SCHOOL,0,0,0,0.39,0.08,0.02,0.47,0.67,27,0,1,0,0,7,0,5,1,3,0,0
YIO CHU KANG PRIMARY SCHOOL,1 HOUGANG STREET 51   ,538720,CO-ED SCHOOL,0,0,0,0.52,0.16,0.0,0.2,0.75,29,0,0,0,2,2,1,4,2,7,0,0
YISHUN PRIMARY SCHOOL,500 YISHUN RING ROAD   ,768679,CO-ED SCHOOL,0,0,0,0.41,0.35,0.0,0.41,1.07,21,0,0,0,1,5,1,3,1,5,0,0
YU NENG PRIMARY SCHOOL,56 BEDOK NORTH ST 3   ,469623,CO-ED SCHOOL,0,0,0,0.68,1.54,0.8,1.36,0.0,21,1,0,0,0,5,2,4,1,4,0,0
YUHUA PRIMARY SCHOOL,158 JURONG EAST STREET 24   ,609558,CO-ED SCHOOL,0,0,0,0.27,0.13,0.02,0.15,0.11,23,0,1,0,1,4,0,7,1,6,0,0
YUMIN PRIMARY SCHOOL,3 TAMPINES STREET 21   ,529393,CO-ED SCHOOL,0,0,0,0.32,0.06,0.0,0.05,0.39,23,0,0,0,1,3,0,3,2,4,0,0
ZHANGDE PRIMARY SCHOOL,51 Jalan Membina   ,169485,CO-ED SCHOOL,0,0,0,0.58,0.34,0.0,0.85,1.46,29,0,0,0,1,1,0,8,2,2,0,0
ZHENGHUA PRIMARY SCHOOL,9 Fajar Road   ,679002,CO-ED SCHOOL,0,0,0,0.55,1.03,0.0,0.81,0.67,25,0,1,0,1,3,0,4,2,6,0,0
ZHONGHUA PRIMARY SCHOOL,12 SERANGOON AVENUE 4   ,556095,CO-ED SCHOOL,0,0,0,0.17,0.03,0.0,0.06,0.29,23,0,0,0,1,3,0,3,1,4,0,0
